
Note: No compatibility mode selected!


Circuit: * hibiki i3c_tx_0p125ma_tx through cascaded wmodel baseline rlgc traces

binary raw file "C:\Users\simom\Desktop\Projects\IBIS_Comparison\results\hibiki_i3c_tx_0p125ma_wmodel_cascade_ngspice_2026-05-29\raw\hibiki_wmodel_cascade.raw"
Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
No. of Data Columns : 8

Initial Transient Solution
--------------------------

Node                                   Voltage
ch_trace03_54_rl                   2.08792e-06
ch_trace03_54                      2.08792e-06
ch_trace03_55_rl                   2.08791e-06
ch_trace03_55                      2.08791e-06
ch_trace03_56_rl                   2.08789e-06
ch_trace03_56                      2.08789e-06
ch_trace03_57_rl                   2.08788e-06
ch_trace03_57                      2.08788e-06
ch_trace03_58_rl                   2.08787e-06
ch_trace03_58                      2.08787e-06
ch_trace03_59_rl                   2.08786e-06
ch_trace03_59                      2.08786e-06
ch_trace03_60_rl                   2.08785e-06
ch_trace03_60                      2.08785e-06
ch_trace03_61_rl                   2.08784e-06
ch_trace03_61                      2.08784e-06
ch_trace03_62_rl                   2.08783e-06
ch_trace03_62                      2.08783e-06
ch_trace03_63_rl                   2.08782e-06
ch_trace03_63                      2.08782e-06
ch_trace03_64_rl                   2.08781e-06
ch_trace03_64                      2.08781e-06
ch_trace03_65_rl                    2.0878e-06
ch_trace03_65                       2.0878e-06
ch_trace03_66_rl                   2.08779e-06
ch_trace03_66                      2.08779e-06
ch_trace03_67_rl                   2.08777e-06
ch_trace03_67                      2.08777e-06
ch_trace03_68_rl                   2.08776e-06
ch_trace03_68                      2.08776e-06
ch_trace03_69_rl                   2.08775e-06
ch_trace03_69                      2.08775e-06
ch_trace03_70_rl                   2.08774e-06
ch_trace03_70                      2.08774e-06
ch_trace03_71_rl                   2.08773e-06
ch_trace03_71                      2.08773e-06
ch_trace03_72_rl                   2.08772e-06
ch_trace03_72                      2.08772e-06
ch_trace03_73_rl                   2.08771e-06
ch_trace03_73                      2.08771e-06
ch_trace03_74_rl                    2.0877e-06
ch_trace03_74                       2.0877e-06
ch_trace03_75_rl                   2.08769e-06
ch_trace03_75                      2.08769e-06
