time_ns,v_typ,v_min,v_max
3.5255,3.291,3.141,3.458166667
3.5315,3.291,3.141,3.459
3.5375,3.291666667,3.141,3.459
3.5435,3.292,3.141,3.459
3.5495,3.292,3.141,3.459
3.5556,3.292,3.141,3.459
3.5616,3.292,3.141,3.459
3.5676,3.292,3.141,3.459
3.5736,3.292,3.141,3.459
3.5796,3.292,3.141,3.459
3.5856,3.292,3.141,3.459
3.5916,3.292,3.141,3.459
3.5976,3.292,3.141,3.459
3.6036,3.292,3.141,3.459
3.6096,3.292,3.141,3.459
3.6156,3.292,3.141,3.459833333
3.6216,3.292,3.141,3.46
3.6276,3.292,3.141,3.46
3.6336,3.292,3.141,3.46
3.6396,3.292,3.141,3.46
3.6456,3.292,3.141,3.46
3.6517,3.292,3.141,3.46
3.6577,3.292,3.141,3.46
3.6637,3.292,3.141,3.46
3.6697,3.292333333,3.141,3.46
3.6757,3.293,3.141,3.46
3.6817,3.293,3.141,3.46
3.6877,3.293,3.141,3.46
3.6937,3.293,3.141,3.46
3.6997,3.293,3.141,3.460666667
3.7057,3.293,3.141,3.461
3.7117,3.293,3.141,3.461
3.7177,3.293,3.141,3.461
3.7237,3.293,3.141,3.461
3.7297,3.293,3.141,3.461
3.7357,3.293,3.141,3.461
3.7417,3.293,3.141,3.461
3.7477,3.293,3.141,3.461
3.7538,3.293,3.141,3.461
3.7598,3.293,3.141,3.461
3.7658,3.293,3.141,3.461
3.7718,3.293,3.141,3.461
3.7778,3.293,3.141,3.461
3.7838,3.293,3.141,3.461
3.7898,3.293,3.141,3.461666667
3.7958,3.293,3.141,3.462
3.8018,3.293,3.141,3.462
3.8078,3.293,3.141,3.462
3.8138,3.293,3.141,3.462
3.8198,3.293,3.141,3.462
3.8258,3.293166667,3.141,3.462
3.8318,3.294,3.141,3.462
3.8378,3.294,3.141,3.462
3.8438,3.294,3.141,3.462
3.8498,3.294,3.141,3.462
3.8559,3.294,3.141,3.462
3.8619,3.294,3.141,3.462
3.8679,3.294,3.141,3.462
3.8739,3.294,3.141,3.462
3.8799,3.294,3.141,3.462
3.8859,3.294,3.141,3.462
3.8919,3.294,3.141,3.462
3.8979,3.294,3.140166667,3.462
3.9039,3.294,3.14,3.463
3.9099,3.294,3.14,3.463
3.9159,3.294,3.14,3.463
3.9219,3.294,3.14,3.463
3.9279,3.294,3.14,3.463
3.9339,3.294,3.14,3.463
3.9399,3.294,3.14,3.463
3.9459,3.294,3.14,3.463
3.952,3.294,3.14,3.463
3.958,3.294,3.14,3.463
3.964,3.294,3.14,3.463
3.97,3.294,3.14,3.463
3.976,3.294,3.14,3.463
3.982,3.294,3.14,3.463
3.988,3.294,3.14,3.463
3.994,3.294,3.14,3.463
4.0,3.294,3.14,3.463
4.006,3.294833333,3.14,3.463
4.012,3.295,3.14,3.463333333
4.018,3.295,3.14,3.464
4.024,3.295,3.14,3.464
4.03,3.295,3.14,3.464
4.036,3.295,3.14,3.464
4.042,3.295,3.14,3.464
4.048,3.295,3.14,3.464
4.0541,3.295,3.14,3.464
4.0601,3.295,3.14,3.464
4.0661,3.295,3.14,3.464
4.0721,3.295,3.14,3.464
4.0781,3.295,3.14,3.464
4.0841,3.295,3.14,3.464
4.0901,3.295,3.14,3.464
4.0961,3.295,3.14,3.464
4.1021,3.295,3.14,3.464
4.1081,3.295,3.14,3.464
4.1141,3.295,3.14,3.464
4.1201,3.295,3.14,3.464
4.1261,3.295,3.14,3.464
4.1321,3.295,3.14,3.464
4.1381,3.295,3.14,3.464
4.1441,3.295,3.14,3.464333333
4.1502,3.295,3.14,3.465
4.1562,3.295,3.14,3.465
4.1622,3.295,3.14,3.465
4.1682,3.295,3.14,3.465
4.1742,3.295,3.14,3.465
4.1802,3.295,3.14,3.465
4.1862,3.295,3.14,3.465
4.1922,3.295,3.14,3.465
4.1982,3.295,3.14,3.465
4.2042,3.295,3.14,3.465
4.2102,3.2955,3.14,3.465
4.2162,3.296,3.14,3.465
4.2222,3.296,3.14,3.465
4.2282,3.296,3.14,3.465
4.2342,3.296,3.14,3.465
4.2402,3.296,3.14,3.465
4.2462,3.296,3.14,3.465
4.2523,3.296,3.14,3.465
4.2583,3.296,3.14,3.465
4.2643,3.296,3.14,3.465
4.2703,3.296,3.14,3.465
4.2763,3.296,3.14,3.465
4.2823,3.296,3.14,3.465
4.2883,3.296,3.14,3.465
4.2943,3.296,3.14,3.465
4.3003,3.296,3.14,3.466
4.3063,3.296,3.14,3.466
4.3123,3.296,3.14,3.466
4.3183,3.296,3.14,3.466
4.3243,3.296,3.14,3.466
4.3303,3.296,3.14,3.466
4.3363,3.296,3.14,3.466
4.3423,3.296,3.14,3.466
4.3483,3.296,3.14,3.466
4.3544,3.296,3.14,3.466
4.3604,3.296,3.14,3.466
4.3664,3.296,3.14,3.466
4.3724,3.296,3.14,3.466
4.3784,3.296,3.14,3.466
4.3844,3.296,3.14,3.466
4.3904,3.296,3.14,3.466
4.3964,3.296,3.14,3.466
4.4024,3.296,3.14,3.466
4.4084,3.296,3.14,3.466
4.4144,3.296,3.14,3.466
4.4204,3.296,3.14,3.466
4.4264,3.296,3.14,3.466
4.4324,3.296,3.14,3.466
4.4384,3.296,3.14,3.466
4.4444,3.296,3.14,3.466
4.4505,3.296,3.14,3.466
4.4565,3.296,3.14,3.466
4.4625,3.296,3.14,3.466
4.4685,3.296,3.14,3.466
4.4745,3.2965,3.14,3.4665
4.4805,3.297,3.14,3.467
4.4865,3.297,3.14,3.467
4.4925,3.297,3.14,3.467
4.4985,3.297,3.14,3.467
