case,xyce_ref_rc,xyce_ref_timed_out,xyce_ref_wall_s,xyce_pybis_rc,xyce_pybis_timed_out,xyce_pybis_wall_s,xyce_ref_output,xyce_pybis_output,pre_high,low_gap,post_high,length_cm,loss_scale,n_sections,target_rise_ns,target_fall_ns,py_rise_max_v,py_rise_max_ns,ref_rise_max_v,ref_rise_max_ns,rise_maxabs_py_minus_ref_v,rise_maxabs_py_minus_ref_abs_v,rise_maxabs_ns,py_tx_rise_max_v,ref_tx_rise_max_v,py_fall_min_v,ref_fall_min_v,fall_maxabs_py_minus_ref_v,fall_maxabs_py_minus_ref_abs_v,fall_maxabs_ns
hist_h4_g3_p3_30cm_loss5,0,False,0.15438365936279297,0,False,3.8191561698913574,True,True,4,3,3,30,5.0,10,22.1,28.100000000000005,0.0127608859,22.849999999999998,-0.00271095222,22.5,0.05025795089999776,0.05025795089999776,22.879999999999598,0.066263857,0.672303486,1.34333074,1.39038904,-0.061113869999998904,0.061113869999998904,28.100000000000005
hist_h4_g3_p4_30cm_loss5,0,False,0.1590719223022461,0,False,3.9742255210876465,True,True,4,3,4,30,5.0,10,22.1,30.100000000000005,0.0127608859,22.849999999999998,-0.00271095222,22.5,0.05025795089999776,0.05025795089999776,22.879999999999598,0.066263857,0.672303486,1.38259973,1.42486793,-0.0649844599999998,0.0649844599999998,30.840000000000845
hist_h4_g4_p1_30cm_loss5,0,False,0.1463780403137207,0,False,3.430436134338379,True,True,4,4,1,30,5.0,10,24.100000000000005,26.1,0.0309247503,24.32,0.00884840713,25.07,0.05040827759999689,0.05040827759999689,24.33999999999988,0.0447490243,0.762192415,-0.0146477048,-0.0180670297,-0.2702783862593916,0.2702783862593916,27.497999999999273
hist_h4_g4_p2_30cm_loss5,0,False,0.15250492095947266,0,False,3.7591307163238525,True,True,4,4,2,30,5.0,10,24.100000000000005,28.100000000000005,0.0309247503,24.32,0.00884840713,25.07,0.05040827759999689,0.05040827759999689,24.33999999999988,0.0447490243,0.762192415,0.297068046,1.01733298,-0.7215790439999994,0.7215790439999994,28.100000000000005
hist_h4_g4_p3_30cm_loss5,0,False,0.15582966804504395,0,False,4.124942064285278,True,True,4,4,3,30,5.0,10,24.100000000000005,30.100000000000005,0.0309247503,24.32,0.00884840713,25.07,0.05040827759999689,0.05040827759999689,24.33999999999988,0.0447490243,0.762192415,1.34756962,1.39907284,-0.06538595999999841,0.06538595999999841,30.100000000000005
hist_h4_g4_p4_30cm_loss5,0,False,0.15984892845153809,0,False,4.3063719272613525,True,True,4,4,4,30,5.0,10,24.100000000000005,32.1,0.0309247503,24.32,0.00884840713,25.07,0.05040827759999689,0.05040827759999689,24.33999999999988,0.0447490243,0.762192415,1.38403113,1.41532247,-0.055161879999997554,0.055161879999997554,32.83000000000083
ch_len10cm_loss1_h1_g1_p3,0,False,0.14841938018798828,0,False,2.4781723022460938,True,True,1,1,3,10,1.0,10,12.100000000000001,18.100000000000005,0.0532592205,12.69,0.103151018,12.49,-0.19344286759999163,0.19344286759999163,12.430000000000103,0.055397182,0.586731325,1.25154827,-0.0218366674,1.4280826639999487,1.4280826639999487,19.23999999999941
ch_len10cm_loss3_h1_g1_p3,0,False,0.16944217681884766,0,False,2.5487868785858154,True,True,1,1,3,10,3.0,10,12.100000000000001,18.100000000000005,0.0551740197,12.69,0.101813674,12.5,-0.18041288989999088,0.18041288989999088,12.430000000000103,0.0548852716,0.58759987,1.24749328,-0.0131935315,1.405990554999831,1.405990554999831,19.23999999999941
ch_len10cm_loss5_h1_g1_p3,0,False,0.14804410934448242,0,False,2.466679334640503,True,True,1,1,3,10,5.0,10,12.100000000000001,18.100000000000005,0.0570788831,12.69,0.0995434282,12.49,-0.1676526565999953,0.1676526565999953,12.430000000000103,0.0543991917,0.584229997,1.24324626,-0.00412018917,1.392743963999911,1.392743963999911,19.249999999999403
ch_len20cm_loss1_h1_g1_p3,0,False,0.14499831199645996,0,False,2.445192813873291,True,True,1,1,3,20,1.0,10,12.100000000000001,18.100000000000005,1.30561761,12.100000000000001,0.0886237895,13.41,1.451089824,1.451089824,12.100000000000001,0.107705101,0.751389597,1.43992359,1.41402439,0.0689855799991923,0.0689855799991923,19.497999999999276
ch_len20cm_loss3_h1_g1_p3,0,False,0.13527488708496094,0,False,2.40993595123291,True,True,1,1,3,20,3.0,10,12.100000000000001,18.100000000000005,1.2826771,12.100000000000001,0.0885804927,12.37,1.416904626,1.416904626,12.100000000000001,0.105737745,0.746893777,1.42195935,1.39650189,0.06675374199925566,0.06675374199925566,19.497999999999276
ch_len20cm_loss5_h1_g1_p3,0,False,0.13512730598449707,0,False,2.40346097946167,True,True,1,1,3,20,5.0,10,12.100000000000001,18.100000000000005,1.26027913,12.100000000000001,0.0903752899,12.38,1.383976066,1.383976066,12.100000000000001,0.103910304,0.742523393,1.40347678,1.37894437,0.06414569599933317,0.06414569599933317,19.497999999999276
ch_len30cm_loss1_h1_g1_p3,0,False,0.1402113437652588,0,False,2.430687665939331,True,True,1,1,3,30,1.0,10,12.100000000000001,18.100000000000005,1.63082344,12.68,0.968107165,12.110000000000001,1.6296087936999728,1.6296087936999728,12.770000000000206,0.0850336179,0.745678804,1.35966724,1.46354057,-0.122344239999999,0.122344239999999,18.100000000000005
ch_len30cm_loss3_h1_g1_p3,0,False,0.13862895965576172,0,False,2.511145830154419,True,True,1,1,3,30,3.0,10,12.100000000000001,18.100000000000005,1.58032693,12.68,0.940202931,12.110000000000001,1.573007107599964,1.573007107599964,12.770000000000206,0.0983556088,0.762470591,1.33012753,1.4349785,-0.11392172999999928,0.11392172999999928,18.100000000000005
ch_len30cm_loss5_h1_g1_p3,0,False,0.14690279960632324,0,False,2.60892653465271,True,True,1,1,3,30,5.0,10,12.100000000000001,18.100000000000005,1.53162362,12.68,0.914081926,12.110000000000001,1.5190433528999667,1.5190433528999667,12.770000000000206,0.111793587,0.776419489,1.30098905,1.40229937,-0.10820222999999918,0.10820222999999918,18.100000000000005
