case,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len10cm_loss1,fall,64,11->01,280.1004259048282,956.2507910087379,169.96384514523407
ui2_len10cm_loss1,rise,65,10->11,282.1004451946025,2256.04475661818,1025.3975826350886
ui2_len10cm_loss1,fall,66,11->00,292.1004259042674,956.2470629422455,169.96059101299852
ui2_len10cm_loss1,rise,67,00->11,296.10044832675953,2273.9882385894816,934.7217839565429
ui2_len10cm_loss1,fall,68,11->01,304.10042591276493,956.2135425791872,169.99278297661493
ui2_len10cm_loss1,rise,69,10->10,306.1004451993831,2256.072526638566,nan
ui2_len10cm_loss1,fall,70,01->01,308.1004246432337,883.593618090532,nan
ui2_len10cm_loss1,rise,71,10->11,310.10044568998336,2252.3925519048094,1009.9715613135747
ui2_len10cm_loss1,fall,72,11->00,316.10042592251716,955.7253422174908,170.1127489012324
ui2_len10cm_loss1,rise,73,00->11,324.10044765179777,2273.9246990946463,933.6240261458023
ui2_len10cm_loss1,fall,74,11->01,328.10042583301987,949.3337736430822,171.9226788712495
ui2_len10cm_loss1,rise,75,10->11,330.10044523104625,2255.9787913120927,1024.2234383668783
ui2_len10cm_loss1,fall,76,11->01,336.1004259254745,955.6895775752055,170.15863215950682
ui2_len10cm_loss1,rise,77,10->10,338.10044519957324,2256.136950886685,nan
ui2_len10cm_loss1,fall,78,01->00,340.100424644828,883.5786135889739,nan
ui2_len10cm_loss1,rise,79,00->11,344.1004482512294,2274.3135898841288,935.0717740593326
ui2_len10cm_loss1,fall,80,11->00,348.10042585021995,949.3978444646391,172.02180219801755
ui2_len10cm_loss1,rise,81,00->10,354.10044859725014,2273.286919482258,nan
ui2_len10cm_loss1,fall,82,01->01,356.1004246965504,885.1315517086333,nan
ui2_len10cm_loss1,rise,83,10->10,358.1004456755186,2252.12791669341,nan
ui2_len10cm_loss1,fall,84,01->01,360.10042465423277,884.1389986763764,nan
ui2_len10cm_loss1,rise,85,10->11,362.1004456783167,2251.762742104037,1009.6989630683581
ui2_len10cm_loss1,fall,86,11->00,366.10042576242654,949.572129015348,171.25770064383084
ui2_len10cm_loss1,rise,87,00->10,376.1004475756289,2273.6458490367827,nan
ui2_len10cm_loss1,fall,88,01->01,378.100424688819,885.2058021603447,nan
ui2_len10cm_loss1,rise,89,10->11,380.1004456698822,2251.809154918469,1006.59980183223
ui2_len10cm_loss1,fall,90,11->00,388.1004258994173,956.1855136403109,170.06067384481904
ui2_len10cm_loss1,rise,91,00->11,394.10044863553384,2273.1981415848263,932.0666442845726
ui1_len10cm_loss1,fall,0,11->01,13.100425910549728,957.7397888446662,172.05311925203836
ui1_len10cm_loss1,rise,1,10->11,14.100449557729618,2235.998582280023,1241.2235988291286
ui1_len10cm_loss1,fall,2,11->00,19.10042584658744,956.4486278687731,172.51188566574336
ui1_len10cm_loss1,rise,3,00->11,21.10044519998878,2236.2709486732524,1019.515378863017
ui1_len10cm_loss1,fall,4,11->01,25.100425768627936,951.6512349914427,173.2647454920329
ui1_len10cm_loss1,rise,5,10->10,26.100449436011495,4246.793664877859,3255.513693806017
ui1_len10cm_loss1,fall,6,01->01,27.100420374809705,4935.462447872009,-3945.3678828408197
ui1_len10cm_loss1,rise,7,10->11,28.100446830331897,2246.7962705574587,1246.085169382304
